LEXUS,GX 460,SUV - STANDARD,4.6,8,16.0,12.9,14.6,341,Diesel,14.76,15.07,14.14,13.829999999999998,14.45
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4,10.8,7.7,9.4,220,Diesel,9.56,9.87,8.940000000000001,8.629999999999999,9.25
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,12.4,9.2,11.0,258,Petrol,11.12,11.44,10.48,10.16,10.8
NISSAN,SENTRA (Turbo),MID-SIZE,1.6,4,9.1,7.3,8.3,195,Diesel,8.379999999999999,8.559999999999999,8.02,7.84,8.2
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,17.3,11.6,14.7,344,Diesel,15.02,15.59,13.88,13.309999999999999,14.45
MERCEDES-BENZ,C 300 4MATIC WAGON,STATION WAGON - MID-SIZE,2.0,4,10.7,8.0,9.5,222,Diesel,9.62,9.889999999999999,9.08,8.809999999999999,9.35
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,12.4,9.4,11.1,260,Petrol,11.2,11.5,10.600000000000001,10.3,10.9
FORD,Transit Connect Van,SPECIAL PURPOSE VEHICLE,2.0,4,9.8,8.8,9.3,219,Petrol,9.4,9.5,9.200000000000001,9.1,9.3
MERCEDES-BENZ,A 250,STATION WAGON - SMALL,2.0,4,9.4,6.8,8.3,192,Diesel,8.36,8.620000000000001,7.84,7.58,8.1
PORSCHE,911 Carrera 4 GTS Cabriolet,MINICOMPACT,3.0,6,12.9,9.1,11.2,260,Diesel,11.38,11.76,10.620000000000001,10.239999999999998,11.0
BMW,X4 M,SUV - SMALL,3.0,6,16.6,12.1,14.6,339,Diesel,14.8,15.25,13.9,13.45,14.350000000000001
FORD,T-150 Wagon FFV,VAN - PASSENGER,3.5,6,21.5,16.2,19.1,316,Electric,19.380000000000003,19.909999999999997,18.32,17.79,18.85
LINCOLN,Nautilus AWD,SUV - SMALL,2.7,6,12.5,9.2,11.0,258,Petrol,11.18,11.51,10.52,10.19,10.85
VOLKSWAGEN,Arteon 4MOTION,FULL-SIZE,2.0,4,11.5,8.2,10.0,234,Diesel,10.18,10.509999999999998,9.52,9.19,9.85
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,18.1,12.2,15.4,354,Diesel,15.740000000000002,16.33,14.56,13.969999999999999,15.15
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,9.9,7.5,8.8,202,Petrol,8.940000000000001,9.18,8.46,8.22,8.7
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,13.6,9.3,11.7,269,Diesel,11.88,12.309999999999999,11.02,10.59,11.45
KIA,SORENTO,SUV - SMALL,2.4,4,11.8,8.5,10.3,237,Petrol,10.48,10.809999999999999,9.82,9.489999999999998,10.15
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,8.7,6.6,7.8,179,Diesel,7.859999999999999,8.069999999999999,7.4399999999999995,7.229999999999999,7.6499999999999995
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,20.5,14.5,17.8,285,Electric,18.1,18.7,16.9,16.299999999999997,17.5
JEEP,PATRIOT,SUV - SMALL,2.4,4,10.2,8.2,9.3,214,Petrol,9.399999999999999,9.599999999999998,9.0,8.799999999999999,9.2
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,8.4,6.4,7.5,172,Diesel,7.6000000000000005,7.8,7.2,7.0,7.4
CHEVROLET,CAMARO,COMPACT,2.0,4,11.4,7.9,9.8,229,Diesel,10.0,10.35,9.3,8.95,9.65
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,14.6,10.4,12.7,298,Petrol,12.92,13.34,12.08,11.66,12.5
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,17.3,11.7,14.8,243,Electric,15.06,15.62,13.940000000000001,13.379999999999999,14.5
FORD,EDGE AWD,SUV - SMALL,3.5,6,13.7,9.6,11.8,278,Petrol,12.059999999999999,12.469999999999999,11.24,10.829999999999998,11.649999999999999
FORD,FLEX AWD,SUV - STANDARD,3.5,6,14.7,10.7,12.9,303,Petrol,13.099999999999998,13.499999999999998,12.299999999999999,11.899999999999999,12.7
LEXUS,GX 460,SUV - STANDARD,4.6,8,15.7,11.7,13.9,322,Diesel,14.1,14.499999999999998,13.3,12.899999999999999,13.7
FORD,FUSION,MID-SIZE,2.0,4,11.2,7.6,9.6,225,Petrol,9.76,10.12,9.04,8.68,9.399999999999999
MERCEDES-BENZ,AMG GLS 63,SUV - STANDARD,5.5,8,18.2,14.0,16.3,369,Diesel,16.52,16.939999999999998,15.68,15.259999999999998,16.1
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,8.8,6.8,7.9,184,Diesel,8.0,8.2,7.6000000000000005,7.4,7.800000000000001
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,7.8,5.9,6.9,163,Petrol,7.04,7.23,6.66,6.47,6.85
CHEVROLET,TAHOE 4WD,SUV - STANDARD,6.2,8,16.4,10.7,13.8,325,Diesel,14.119999999999997,14.689999999999998,12.979999999999999,12.409999999999998,13.549999999999999
BMW,X6 xDrive35i,SUV - STANDARD,3.0,6,13.0,9.9,11.6,272,Diesel,11.76,12.07,11.14,10.83,11.45
CHEVROLET,Malibu,MID-SIZE,2.0,4,10.5,7.4,9.1,214,Diesel,9.26,9.57,8.64,8.33,8.95
GMC,Acadia,SUV - STANDARD,2.5,4,11.1,9.2,10.2,237,Petrol,10.34,10.53,9.96,9.77,10.149999999999999
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,2.7,4,12.6,10.9,11.8,277,Petrol,11.92,12.089999999999998,11.58,11.41,11.75
